configuration,configuration_class,corrupted_party,initial_leader,n_blocks,message_length_bits,lambda_bits,pmax_fairness_violation,pmax_terminal_fairness_violation,maximum_information_lead_from_reachable_states,shortest_trace_length_to_max_lead,reachable_states,reported_prism_states,transitions,choices,construction_seconds,checking_seconds,all_queries_construction_seconds,all_queries_checking_seconds,peak_memory_bytes,prism_log,terminal_prism_log,model_file,model_file_sha256,states_file,transitions_file,strategy_evidence_kind,strategy_file,trace_file,shortest_abort_prefix_file,actions,corrupt_party_own_record_mac,scope
corrupt_alice_leader_alice_n4_lambda1,paper_main,alice,alice,4,8,1,0.0,0.0,1,4,102,102,265,265,0.029,0.004,0.324,0.076,not_measured,e6_corrupt_alice_leader_alice_n4_lambda1_violation_v6.log,e6_corrupt_alice_leader_alice_n4_lambda1_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n4_lambda1_all_states_v6.txt,e6_corrupt_alice_leader_alice_n4_lambda1_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n4_lambda1_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n4_lambda1_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n4_lambda1_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n4_lambda2,paper_main,alice,alice,4,8,2,0.0,0.0,2,4,58,58,149,149,0.027,0.004,0.308,0.077,not_measured,e6_corrupt_alice_leader_alice_n4_lambda2_violation_v6.log,e6_corrupt_alice_leader_alice_n4_lambda2_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n4_lambda2_all_states_v6.txt,e6_corrupt_alice_leader_alice_n4_lambda2_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n4_lambda2_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n4_lambda2_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n4_lambda2_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n4_lambda4,paper_main,alice,alice,4,8,4,0.0,0.0,4,4,36,36,91,91,0.026,0.004,0.291,0.078,not_measured,e6_corrupt_alice_leader_alice_n4_lambda4_violation_v6.log,e6_corrupt_alice_leader_alice_n4_lambda4_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n4_lambda4_all_states_v6.txt,e6_corrupt_alice_leader_alice_n4_lambda4_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n4_lambda4_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n4_lambda4_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n4_lambda4_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n4_lambda8,paper_main,alice,alice,4,8,8,0.0,0.0,8,4,25,25,62,62,0.027,0.004,0.28300000000000003,0.093,not_measured,e6_corrupt_alice_leader_alice_n4_lambda8_violation_v6.log,e6_corrupt_alice_leader_alice_n4_lambda8_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n4_lambda8_all_states_v6.txt,e6_corrupt_alice_leader_alice_n4_lambda8_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n4_lambda8_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n4_lambda8_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n4_lambda8_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n8_lambda1,paper_main,alice,alice,8,16,1,0.0,0.0,1,4,190,190,497,497,0.034,0.004,0.654,0.14200000000000002,not_measured,e6_corrupt_alice_leader_alice_n8_lambda1_violation_v6.log,e6_corrupt_alice_leader_alice_n8_lambda1_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n8_lambda1_all_states_v6.txt,e6_corrupt_alice_leader_alice_n8_lambda1_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n8_lambda1_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n8_lambda1_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n8_lambda1_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n8_lambda2,paper_main,alice,alice,8,16,2,0.0,0.0,2,4,102,102,265,265,0.033,0.005,0.58,0.133,not_measured,e6_corrupt_alice_leader_alice_n8_lambda2_violation_v6.log,e6_corrupt_alice_leader_alice_n8_lambda2_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n8_lambda2_all_states_v6.txt,e6_corrupt_alice_leader_alice_n8_lambda2_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n8_lambda2_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n8_lambda2_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n8_lambda2_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n8_lambda4,paper_main,alice,alice,8,16,4,0.0,0.0,4,4,58,58,149,149,0.03,0.005,0.532,0.13999999999999999,not_measured,e6_corrupt_alice_leader_alice_n8_lambda4_violation_v6.log,e6_corrupt_alice_leader_alice_n8_lambda4_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n8_lambda4_all_states_v6.txt,e6_corrupt_alice_leader_alice_n8_lambda4_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n8_lambda4_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n8_lambda4_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n8_lambda4_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n8_lambda8,paper_main,alice,alice,8,16,8,0.0,0.0,8,4,36,36,91,91,0.029,0.005,0.513,0.144,not_measured,e6_corrupt_alice_leader_alice_n8_lambda8_violation_v6.log,e6_corrupt_alice_leader_alice_n8_lambda8_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n8_lambda8_all_states_v6.txt,e6_corrupt_alice_leader_alice_n8_lambda8_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n8_lambda8_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n8_lambda8_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n8_lambda8_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n16_lambda1,paper_main,alice,alice,16,32,1,0.0,0.0,1,4,366,366,961,961,0.038,0.005,1.336,0.274,not_measured,e6_corrupt_alice_leader_alice_n16_lambda1_violation_v6.log,e6_corrupt_alice_leader_alice_n16_lambda1_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n16_lambda1_all_states_v6.txt,e6_corrupt_alice_leader_alice_n16_lambda1_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n16_lambda1_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n16_lambda1_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n16_lambda1_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n16_lambda2,paper_main,alice,alice,16,32,2,0.0,0.0,2,4,190,190,497,497,0.035,0.005,1.197,0.265,not_measured,e6_corrupt_alice_leader_alice_n16_lambda2_violation_v6.log,e6_corrupt_alice_leader_alice_n16_lambda2_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n16_lambda2_all_states_v6.txt,e6_corrupt_alice_leader_alice_n16_lambda2_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n16_lambda2_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n16_lambda2_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n16_lambda2_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n16_lambda4,paper_main,alice,alice,16,32,4,0.0,0.0,4,4,102,102,265,265,0.03,0.004,1.038,0.255,not_measured,e6_corrupt_alice_leader_alice_n16_lambda4_violation_v6.log,e6_corrupt_alice_leader_alice_n16_lambda4_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n16_lambda4_all_states_v6.txt,e6_corrupt_alice_leader_alice_n16_lambda4_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n16_lambda4_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n16_lambda4_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n16_lambda4_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_alice_n16_lambda8,paper_main,alice,alice,16,32,8,0.0,0.0,8,4,58,58,149,149,0.027,0.004,0.977,0.252,not_measured,e6_corrupt_alice_leader_alice_n16_lambda8_violation_v6.log,e6_corrupt_alice_leader_alice_n16_lambda8_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_alice_n16_lambda8_all_states_v6.txt,e6_corrupt_alice_leader_alice_n16_lambda8_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_alice_n16_lambda8_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_alice_n16_lambda8_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_alice_n16_lambda8_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n4_lambda1,paper_main,alice,bob,4,8,1,0.0,0.0,1,4,95,95,240,240,0.029,0.004,0.319,0.078,not_measured,e6_corrupt_alice_leader_bob_n4_lambda1_violation_v6.log,e6_corrupt_alice_leader_bob_n4_lambda1_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n4_lambda1_all_states_v6.txt,e6_corrupt_alice_leader_bob_n4_lambda1_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n4_lambda1_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n4_lambda1_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n4_lambda1_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n4_lambda2,paper_main,alice,bob,4,8,2,0.0,0.0,2,4,51,51,124,124,0.027,0.004,0.312,0.078,not_measured,e6_corrupt_alice_leader_bob_n4_lambda2_violation_v6.log,e6_corrupt_alice_leader_bob_n4_lambda2_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n4_lambda2_all_states_v6.txt,e6_corrupt_alice_leader_bob_n4_lambda2_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n4_lambda2_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n4_lambda2_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n4_lambda2_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n4_lambda4,paper_main,alice,bob,4,8,4,0.0,0.0,4,4,29,29,66,66,0.028,0.005,0.287,0.08,not_measured,e6_corrupt_alice_leader_bob_n4_lambda4_violation_v6.log,e6_corrupt_alice_leader_bob_n4_lambda4_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n4_lambda4_all_states_v6.txt,e6_corrupt_alice_leader_bob_n4_lambda4_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n4_lambda4_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n4_lambda4_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n4_lambda4_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n4_lambda8,paper_main,alice,bob,4,8,8,0.0,0.0,8,4,18,18,37,37,0.023,0.005,0.269,0.083,not_measured,e6_corrupt_alice_leader_bob_n4_lambda8_violation_v6.log,e6_corrupt_alice_leader_bob_n4_lambda8_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n4_lambda8_all_states_v6.txt,e6_corrupt_alice_leader_bob_n4_lambda8_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n4_lambda8_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n4_lambda8_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n4_lambda8_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n8_lambda1,paper_main,alice,bob,8,16,1,0.0,0.0,1,4,183,183,472,472,0.033,0.007,0.646,0.14,not_measured,e6_corrupt_alice_leader_bob_n8_lambda1_violation_v6.log,e6_corrupt_alice_leader_bob_n8_lambda1_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n8_lambda1_all_states_v6.txt,e6_corrupt_alice_leader_bob_n8_lambda1_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n8_lambda1_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n8_lambda1_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n8_lambda1_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n8_lambda2,paper_main,alice,bob,8,16,2,0.0,0.0,2,4,95,95,240,240,0.028,0.005,0.5660000000000001,0.132,not_measured,e6_corrupt_alice_leader_bob_n8_lambda2_violation_v6.log,e6_corrupt_alice_leader_bob_n8_lambda2_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n8_lambda2_all_states_v6.txt,e6_corrupt_alice_leader_bob_n8_lambda2_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n8_lambda2_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n8_lambda2_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n8_lambda2_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n8_lambda4,paper_main,alice,bob,8,16,4,0.0,0.0,4,4,51,51,124,124,0.031,0.006,0.524,0.142,not_measured,e6_corrupt_alice_leader_bob_n8_lambda4_violation_v6.log,e6_corrupt_alice_leader_bob_n8_lambda4_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n8_lambda4_all_states_v6.txt,e6_corrupt_alice_leader_bob_n8_lambda4_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n8_lambda4_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n8_lambda4_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n8_lambda4_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
corrupt_alice_leader_bob_n8_lambda8,paper_main,alice,bob,8,16,8,0.0,0.0,8,4,29,29,66,66,0.024,0.004,0.489,0.13999999999999999,not_measured,e6_corrupt_alice_leader_bob_n8_lambda8_violation_v6.log,e6_corrupt_alice_leader_bob_n8_lambda8_terminal_violation_v6.log,iaqd_fair_protocol_v6.nm,7a18409699bdb7e93b84d77dcfee9ca60d82921c3c691907addbc0cfd616dec4,e6_corrupt_alice_leader_bob_n8_lambda8_all_states_v6.txt,e6_corrupt_alice_leader_bob_n8_lambda8_all_transitions_v6.txt,reconstructed_witness_policy,e6_corrupt_alice_leader_bob_n8_lambda8_reconstructed_witness_policy_v6.json,e6_corrupt_alice_leader_bob_n8_lambda8_shortest_trace_to_max_lead_v6.json,e6_corrupt_alice_leader_bob_n8_lambda8_shortest_abort_prefix_v6.json,"normal_send,delay,abort,replay,out_of_order,selective_open,invalid_open,mismatched_randomness,duplicate_old_open,wrong_context",valid,finite_protocol_mdp_under_authentication_and_ideal_commitment_assumptions
