initial_state,alice_message,bob_message,noise_class,noise_scope,affected_qubits,channel,p,state_fidelity_to_ideal,bell_label_probability,alice_decode_rate,bob_decode_rate,acceptance_rate,honest_false_abort
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.05,0.9024999999999991,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.09500000000000108
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.1,0.8099999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.18000000000000083
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.15,0.7224999999999994,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.2550000000000008
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.2,0.6399999999999996,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.3200000000000005
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.01,0.9800999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.019800000000000928
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.02,0.960399999999999,0.9607999999999991,0.9607999999999991,0.9607999999999991,0.9607999999999991,0.0392000000000009
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.05,0.9024999999999991,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.09500000000000108
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.1,0.8099999999999994,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.18000000000000083
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.15,0.7224999999999993,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.2550000000000008
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.2,0.6399999999999996,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.3200000000000005
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.01,0.9850562499999992,0.9850749999999993,0.9850749999999993,0.9850749999999993,0.9850749999999993,0.014925000000000743
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.02,0.970224999999999,0.9702999999999989,0.9702999999999989,0.9702999999999989,0.9702999999999989,0.02970000000000106
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.05,0.9264062499999991,0.9268749999999992,0.9268749999999992,0.9268749999999992,0.9268749999999992,0.07312500000000077
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.1,0.8556249999999994,0.8574999999999992,0.8574999999999992,0.8574999999999992,0.8574999999999992,0.14250000000000085
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.15,0.7876562499999992,0.7918749999999991,0.7918749999999991,0.7918749999999991,0.7918749999999991,0.2081250000000009
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.2,0.7224999999999993,0.7299999999999993,0.7299999999999993,0.7299999999999993,0.7299999999999993,0.2700000000000007
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.0,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,2.9976021664879227e-15
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.01,0.9900124999605413,0.9900249999999979,0.9900249999999979,0.9900249999999979,0.9900249999999979,0.009975000000002066
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.02,0.9800499993622774,0.9801000000000001,0.9801000000000001,0.9801000000000001,0.9801000000000001,0.019899999999999918
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.05,0.9503124743094348,0.9506249999999976,0.9506249999999976,0.9506249999999976,0.9506249999999976,0.04937500000000239
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.1,0.9012495665739939,0.9024999999999996,0.9024999999999996,0.9024999999999996,0.9024999999999996,0.09750000000000036
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.15,0.8528101811497971,0.855625000000001,0.855625000000001,0.855625000000001,0.855625000000001,0.14437499999999903
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.2,0.8049922359499617,0.8099999999999995,0.8099999999999995,0.8099999999999995,0.8099999999999995,0.1900000000000005
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.0,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,0.999999999999997,2.9976021664879227e-15
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.01,0.9949937185533069,0.9949999999999969,0.9949999999999969,0.9949999999999969,0.9949999999999969,0.005000000000003113
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.02,0.9899747468305836,0.9900000000000004,0.9900000000000004,0.9900000000000004,0.9900000000000004,0.009999999999999565
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.05,0.9748397172404468,0.9749999999999988,0.9749999999999988,0.9749999999999988,0.9749999999999988,0.025000000000001243
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.1,0.9493416490252544,0.9499999999999976,0.9499999999999976,0.9499999999999976,0.9499999999999976,0.050000000000002376
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.15,0.9234772228646416,0.9249999999999973,0.9249999999999973,0.9249999999999973,0.9249999999999973,0.07500000000000273
phi1,10,01,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.2,0.8972135954999572,0.8999999999999992,0.8999999999999992,0.8999999999999992,0.8999999999999992,0.10000000000000075
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.01,0.9605960099999992,0.960792039999999,0.960792039999999,0.960792039999999,0.960792039999999,0.03920796000000104
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.02,0.922368159999999,0.923136639999999,0.923136639999999,0.923136639999999,0.923136639999999,0.07686336000000105
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.05,0.8145062499999992,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.1809750000000011
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.1,0.6560999999999995,0.6723999999999993,0.6723999999999993,0.6723999999999993,0.6723999999999993,0.32760000000000067
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.15,0.5220062499999994,0.5550249999999994,0.5550249999999994,0.5550249999999994,0.5550249999999994,0.44497500000000056
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.2,0.40959999999999974,0.4623999999999997,0.4623999999999997,0.4623999999999997,0.4623999999999997,0.5376000000000003
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.01,0.9605960099999991,0.960792039999999,0.960792039999999,0.960792039999999,0.960792039999999,0.03920796000000104
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.02,0.9223681599999991,0.923136639999999,0.923136639999999,0.923136639999999,0.923136639999999,0.07686336000000105
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.05,0.814506249999999,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.1809750000000011
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.1,0.6560999999999995,0.6723999999999994,0.6723999999999994,0.6723999999999994,0.6723999999999994,0.32760000000000056
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.15,0.5220062499999996,0.5550249999999993,0.5550249999999993,0.5550249999999993,0.5550249999999993,0.4449750000000007
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.2,0.40959999999999974,0.4623999999999996,0.4623999999999996,0.4623999999999996,0.4623999999999996,0.5376000000000004
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.01,0.9703481289062492,0.9703727556249993,0.9703727556249993,0.9703727556249993,0.9703727556249993,0.02962724437500075
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.02,0.9413850624999991,0.9414820899999989,0.9414820899999989,0.9414820899999989,0.9414820899999989,0.05851791000000106
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.05,0.8585180664062493,0.8590972656249992,0.8590972656249992,0.8590972656249992,0.8590972656249992,0.14090273437500078
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.1,0.7331640624999993,0.7353062499999994,0.7353062499999994,0.7353062499999994,0.7353062499999994,0.2646937500000006
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.15,0.6226196289062492,0.6270660156249992,0.6270660156249992,0.6270660156249992,0.6270660156249992,0.3729339843750008
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.2,0.5256249999999995,0.5328999999999993,0.5328999999999993,0.5328999999999993,0.5328999999999993,0.46710000000000074
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.0,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,4.884981308350689e-15
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.01,0.9801371252734339,0.980149500624997,0.980149500624997,0.980149500624997,0.980149500624997,0.01985049937500305
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.02,0.9605470043749691,0.960596010000001,0.960596010000001,0.960596010000001,0.960596010000001,0.039403989999998945
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.05,0.903390795890405,0.9036878906249965,0.9036878906249965,0.9036878906249965,0.9036878906249965,0.09631210937500345
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.1,0.8133777338330299,0.8145062500000001,0.8145062500000001,0.8145062500000001,0.8145062500000001,0.1854937499999999
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.15,0.7296857112462967,0.7320941406250023,0.7320941406250023,0.7320941406250023,0.7320941406250023,0.26790585937499767
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.2,0.6520437111194692,0.6560999999999999,0.6560999999999999,0.6560999999999999,0.6560999999999999,0.3439000000000001
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.0,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,4.884981308350689e-15
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.01,0.9900124999605383,0.9900249999999948,0.9900249999999948,0.9900249999999948,0.9900249999999948,0.009975000000005174
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.02,0.9800499993622791,0.9801000000000016,0.9801000000000016,0.9801000000000016,0.9801000000000016,0.019899999999998363
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.05,0.9503124743094353,0.9506249999999982,0.9506249999999982,0.9506249999999982,0.9506249999999982,0.049375000000001834
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.1,0.9012495665739902,0.9024999999999962,0.9024999999999962,0.9024999999999962,0.9024999999999962,0.0975000000000038
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.15,0.8528101811497918,0.8556249999999959,0.8556249999999959,0.8556249999999959,0.8556249999999959,0.14437500000000414
phi1,10,01,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.2,0.8049922359499615,0.8099999999999994,0.8099999999999994,0.8099999999999994,0.8099999999999994,0.1900000000000006
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.01,0.980099999999999,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.019800000000000928
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.02,0.9603999999999989,0.9607999999999989,0.9607999999999989,0.9607999999999989,0.9607999999999989,0.03920000000000112
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.05,0.9024999999999991,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.09500000000000108
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.1,0.8099999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.18000000000000083
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.15,0.7224999999999994,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.2550000000000008
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",bit_flip,0.2,0.6399999999999996,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.3200000000000005
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.01,0.9800999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.9801999999999991,0.019800000000000928
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.02,0.960399999999999,0.9607999999999991,0.9607999999999991,0.9607999999999991,0.9607999999999991,0.0392000000000009
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.05,0.9024999999999991,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.9049999999999989,0.09500000000000108
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.1,0.8099999999999994,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.8199999999999992,0.18000000000000083
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.15,0.7224999999999993,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.7449999999999992,0.2550000000000008
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_flip,0.2,0.6399999999999996,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.6799999999999995,0.3200000000000005
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.01,0.9850562499999992,0.9850749999999993,0.9850749999999993,0.9850749999999993,0.9850749999999993,0.014925000000000743
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.02,0.970224999999999,0.9702999999999989,0.9702999999999989,0.9702999999999989,0.9702999999999989,0.02970000000000106
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.05,0.9264062499999991,0.9268749999999992,0.9268749999999992,0.9268749999999992,0.9268749999999992,0.07312500000000077
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.1,0.8556249999999994,0.8574999999999992,0.8574999999999992,0.8574999999999992,0.8574999999999992,0.14250000000000085
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.15,0.7876562499999992,0.7918749999999991,0.7918749999999991,0.7918749999999991,0.7918749999999991,0.2081250000000009
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",depolarizing,0.2,0.7224999999999993,0.7299999999999993,0.7299999999999993,0.7299999999999993,0.7299999999999993,0.2700000000000007
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.0,0.999999999999997,0.9999999999999971,0.9999999999999971,0.9999999999999971,0.9999999999999971,2.886579864025407e-15
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.01,0.9900124999605413,0.9900249999999978,0.9900249999999978,0.9900249999999978,0.9900249999999978,0.009975000000002177
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.02,0.9800499993622774,0.9801000000000001,0.9801000000000001,0.9801000000000001,0.9801000000000001,0.019899999999999918
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.05,0.9503124743094349,0.9506249999999977,0.9506249999999977,0.9506249999999977,0.9506249999999977,0.04937500000000228
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.1,0.9012495665739937,0.9024999999999996,0.9024999999999996,0.9024999999999996,0.9024999999999996,0.09750000000000036
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.15,0.852810181149797,0.855625000000001,0.855625000000001,0.855625000000001,0.855625000000001,0.14437499999999903
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",amplitude_damping,0.2,0.8049922359499617,0.8099999999999995,0.8099999999999995,0.8099999999999995,0.8099999999999995,0.1900000000000005
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.0,0.999999999999997,0.9999999999999971,0.9999999999999971,0.9999999999999971,0.9999999999999971,2.886579864025407e-15
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.01,0.994993718553307,0.9949999999999968,0.9949999999999968,0.9949999999999968,0.9949999999999968,0.005000000000003224
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.02,0.9899747468305836,0.9900000000000004,0.9900000000000004,0.9900000000000004,0.9900000000000004,0.009999999999999565
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.05,0.9748397172404468,0.9749999999999988,0.9749999999999988,0.9749999999999988,0.9749999999999988,0.025000000000001243
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.1,0.9493416490252545,0.9499999999999976,0.9499999999999976,0.9499999999999976,0.9499999999999976,0.050000000000002376
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.15,0.9234772228646417,0.9249999999999973,0.9249999999999973,0.9249999999999973,0.9249999999999973,0.07500000000000273
phi1,10,10,A_transmission_channel,transmission_S3_S4_only,"2,3",phase_damping,0.2,0.8972135954999572,0.8999999999999991,0.8999999999999991,0.8999999999999991,0.8999999999999991,0.10000000000000087
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.01,0.9605960099999992,0.960792039999999,0.960792039999999,0.960792039999999,0.960792039999999,0.03920796000000104
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.02,0.922368159999999,0.923136639999999,0.923136639999999,0.923136639999999,0.923136639999999,0.07686336000000105
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.05,0.8145062499999992,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.1809750000000011
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.1,0.6560999999999995,0.6723999999999993,0.6723999999999993,0.6723999999999993,0.6723999999999993,0.32760000000000067
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.15,0.5220062499999994,0.5550249999999994,0.5550249999999994,0.5550249999999994,0.5550249999999994,0.44497500000000056
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",bit_flip,0.2,0.40959999999999974,0.4623999999999997,0.4623999999999997,0.4623999999999997,0.4623999999999997,0.5376000000000003
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.01,0.9605960099999991,0.960792039999999,0.960792039999999,0.960792039999999,0.960792039999999,0.03920796000000104
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.02,0.9223681599999991,0.923136639999999,0.923136639999999,0.923136639999999,0.923136639999999,0.07686336000000105
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.05,0.814506249999999,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.8190249999999989,0.1809750000000011
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.1,0.6560999999999995,0.6723999999999994,0.6723999999999994,0.6723999999999994,0.6723999999999994,0.32760000000000056
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.15,0.5220062499999996,0.5550249999999993,0.5550249999999993,0.5550249999999993,0.5550249999999993,0.4449750000000007
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_flip,0.2,0.40959999999999974,0.4623999999999996,0.4623999999999996,0.4623999999999996,0.4623999999999996,0.5376000000000004
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,9.992007221626409e-16
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.01,0.9703481289062492,0.9703727556249993,0.9703727556249993,0.9703727556249993,0.9703727556249993,0.02962724437500075
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.02,0.9413850624999991,0.9414820899999989,0.9414820899999989,0.9414820899999989,0.9414820899999989,0.05851791000000106
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.05,0.8585180664062493,0.8590972656249992,0.8590972656249992,0.8590972656249992,0.8590972656249992,0.14090273437500078
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.1,0.7331640624999993,0.7353062499999994,0.7353062499999994,0.7353062499999994,0.7353062499999994,0.2646937500000006
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.15,0.6226196289062492,0.6270660156249992,0.6270660156249992,0.6270660156249992,0.6270660156249992,0.3729339843750008
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",depolarizing,0.2,0.5256249999999995,0.5328999999999993,0.5328999999999993,0.5328999999999993,0.5328999999999993,0.46710000000000074
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.0,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,4.884981308350689e-15
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.01,0.9801371252734339,0.980149500624997,0.980149500624997,0.980149500624997,0.980149500624997,0.01985049937500305
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.02,0.9605470043749691,0.9605960100000009,0.9605960100000009,0.9605960100000009,0.9605960100000009,0.039403989999999056
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.05,0.903390795890405,0.9036878906249965,0.9036878906249965,0.9036878906249965,0.9036878906249965,0.09631210937500345
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.1,0.8133777338330299,0.8145062500000001,0.8145062500000001,0.8145062500000001,0.8145062500000001,0.1854937499999999
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.15,0.7296857112462967,0.7320941406250023,0.7320941406250023,0.7320941406250023,0.7320941406250023,0.26790585937499767
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",amplitude_damping,0.2,0.6520437111194692,0.6560999999999999,0.6560999999999999,0.6560999999999999,0.6560999999999999,0.3439000000000001
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.0,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,0.9999999999999951,4.884981308350689e-15
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.01,0.9900124999605383,0.9900249999999948,0.9900249999999948,0.9900249999999948,0.9900249999999948,0.009975000000005174
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.02,0.9800499993622791,0.9801000000000016,0.9801000000000016,0.9801000000000016,0.9801000000000016,0.019899999999998363
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.05,0.9503124743094353,0.9506249999999982,0.9506249999999982,0.9506249999999982,0.9506249999999982,0.049375000000001834
phi1,10,10,B_local_storage,local_storage_S1_S2_S5_S6_only,"0,1,4,5",phase_damping,0.1,0.9012495665739902,0.9024999999999962,0.9024999999999962,0.9024999999999962,0.9024999999999962,0.0975000000000038
